Identifier,Serotype
2537562014,O65:H27
2537562016,-:H45
2537562020,O6:H16
2537562021,-:H12
2537562092,O23:H16
2537562152,O157:H7
2537562153,O157:H7
2537562172,O141:H4
2537562173,O1:H7
2537562190,O103:H2
2537562194,O111:H8
2537562197,O104:H4
2537562216,O146:H19
2537562222,O25:H42
2537562231,O101/O162:H33
2540341031,O8:H9
2541047119,O157:H7
2541047120,O157:H7
2541047121,O157:H7
2541047122,O157:H7
2541047123,O157:H7
2541047124,O157:H7
2541047126,O157:H7
2541047127,O157:H7
2541047163,O157:H7
2541047165,O157:H7
2541047168,O157:H7
2541047169,O157:H7
2541047171,O157:H7
2541047172,O157:H7
2541047173,O157:H7
2541047174,O157:H7
2541047175,O157:H7
2541047425,O157:H7
2541047426,O157:H7
2541047427,O157:H7
2541047431,O157:H7
2541047434,O157:H7
2541047436,O157:H7
2541047437,O157:H7
2541047438,O157:H7
2541047439,O157:H7
2541047440,O157:H7
2541047441,O157:H7
2541047444,O157:H7
2541047498,O157:H7
2541047500,O157:H7
2541047501,O157:H7
2541047596,O5:H4
2541047680,O2:H5
2541047683,O86:H28
2541047684,O6:H1
2541047687,O22:H1
2541047689,O25:H4
2541047690,O9:H19
2541047691,O2/O50:H7
2541047693,O2:H6
2541047695,O4:H1
2541047698,O2/O50:H4
2541047699,O75:H5
2541047706,O9:H17
2541047708,O2:H1
2541047709,O2/O50:H1
2541047710,O86:H18
2541047711,O18:H7
2541047712,O15:H1
2541047713,O15:H1
2541047715,O83:H31
2541047717,O6:H1
2541047719,O75:H5
2541047723,O6:H1
2541047725,O102:H6
2541047728,O16:H6
2541047729,O25:H4
2541047730,O6:H1
2541047739,O1:H7
2541047741,O6:H1
2541047745,O6:H31
2541047747,O6:H1
2541047748,O25:H4
2541047751,O2/O50:H1
2541047753,O4:H5
2541047754,-:H31
2541047755,O15:H18
2541047757,O23:H16
2541047758,O23:H16
2541047763,O2/O50:H1
2541047764,O11:H4
2541047773,O25:H4
2541047774,O11:H4
2541047775,O77/O17/O44/O106/O73:H18
2541047777,O18:H7
2541047778,O2/O50:H4
2541047779,O75:H5
2541047780,O6:H1
2541047784,O25:H4
2541047789,O83:H31
2541047790,O25:H4
2541047792,O25:H1
2541047794,O16:H6
2541047795,O15:H1
2541047797,O25:H4
2541047798,O16:H6
2541047802,O45:H7
2541047803,O6:H1
2541047807,O39:H4
2541047809,O6:H1
2541047810,O25:H4
2541047812,O46:H31
2541047816,O16:H6
2541047817,-:H14
2541047819,O45:H7
2541047821,O86:H18
2541047824,O25:H4
2541047828,O9:H17
2541047829,O2/O50:H1
2541047835,O120:H31
2541047841,O75:H5
2541047843,O1:H7
2541047845,O75:H5
2541047847,O4:H5
2541047850,O16:H6
2541047856,O6:H1
2541047857,O45:H7
2541047860,O8/O155:H20
2541047864,O75:H5
2541047867,O86:H18
2541047870,O8:H27
2541047873,O77/O17/O44/O106/O73:H18
2541047875,O6:H31
2541047878,O6:H1
2541047879,O126:H27
2541047882,O100:H30
2541047883,O15:H1
2541047887,O75:H5
2541047888,O6:H1
2541047893,O75:H5
2541047895,O145:H34
2541047896,O1:H7
2541047898,-:H4
2541047899,O77/O17/O44/O106/O73:H18
2541047900,O2:H1
2541047902,O1:H15
2541047905,O12:H4
2541047908,O22:H1
2541047910,O4:H5
2541047911,O6:H1
2541047912,O83:H31
2541047913,-:H16
2541047914,O2/O50:H1
2541047915,O1:H7
2541047916,O25:H1
2541047917,O11:H4
2541047918,O75:H5
2541047923,O6:H1
2541047929,O6:H1
2541047930,O6:H1
2541047933,O18:H7
2541047934,O1:H7
2541047938,O160:H32
2541047940,O6:H31
2541047941,O9:H19
2541047942,O9:H30
2541047945,O19:H4
2541047954,O6:H1
2541047956,O6:H1
2541047959,O45:H7
2541047960,-:H45
2541047961,O4:H5
2541047962,O4:H5
2541047965,O13/O135:H4
2541047966,O22:H1
2541047967,O6:H1
2541047968,O138:H48
2541047969,O18:H7
2545824709,O8:H19
